t,abs_zeta,neglog,mollifier_score
17.103254,2.196904553449e+00,-7.870493488763e-01,-7.361420311922e-01
17.165207,2.219931112120e+00,-7.974761652765e-01,-7.471317976499e-01
17.227159,2.239350910383e+00,-8.061860521709e-01,-7.571621039513e-01
17.289111,2.255260278701e+00,-8.132653896648e-01,-7.662447520094e-01
17.351064,2.268020035682e+00,-8.189072203424e-01,-7.743888981646e-01
17.413016,2.278213461431e+00,-8.233915667063e-01,-7.816010776627e-01
17.474969,2.286570672956e+00,-8.270531728691e-01,-7.878852346734e-01
17.536921,2.293867594582e+00,-8.302392993351e-01,-7.932427650276e-01
17.598874,2.300812406016e+00,-8.332622810090e-01,-7.976725754261e-01
17.660826,2.307935913009e+00,-8.363535813666e-01,-8.011711592170e-01
17.722778,2.315503430428e+00,-8.396271288757e-01,-8.037326853901e-01
17.784731,2.323463479247e+00,-8.430589518582e-01,-8.053490945738e-01
17.846683,2.331442803496e+00,-8.464873053318e-01,-8.060101937125e-01
17.908636,2.338789104804e+00,-8.496333192803e-01,-8.057037397373e-01
17.970588,2.344654561729e+00,-8.521380830428e-01,-8.044155018213e-01
18.032541,2.348106684691e+00,-8.536093377696e-01,-8.021292916104e-01
18.094493,2.348249465605e+00,-8.536701427468e-01,-7.988269509339e-01
18.156446,2.344337232946e+00,-8.520027325037e-01,-7.944882866274e-01
18.218398,2.335865877173e+00,-8.483826481519e-01,-7.890909419107e-01
18.280350,2.322630741285e+00,-8.427004838934e-01,-7.826101930107e-01
18.342303,2.304746181146e+00,-8.349705541798e-01,-7.750186582004e-01
18.404255,2.282626670950e+00,-8.253268289681e-01,-7.662859039051e-01
18.466208,2.256932591870e+00,-8.140066315810e-01,-7.563779283939e-01
18.528160,2.228486464971e+00,-8.013226402297e-01,-7.452564966459e-01
18.590113,2.198168467943e+00,-7.876244995152e-01,-7.328782880736e-01
18.652065,2.166803511813e+00,-7.732530459988e-01,-7.191937978213e-01
18.714018,2.135054878874e+00,-7.584923512093e-01,-7.041458941155e-01
18.775970,2.103340135721e+00,-7.435266224540e-01,-6.876678605504e-01
18.837922,2.071782770704e+00,-7.284094789901e-01,-6.696805993952e-01
18.899875,2.040207598965e+00,-7.130515673671e-01,-6.500883191587e-01
18.961827,2.008180368721e+00,-6.972290233537e-01,-6.287710810538e-01
19.023780,1.975084068912e+00,-6.806109644910e-01,-6.055693754476e-01
19.085732,1.940218290335e+00,-6.628004880517e-01,-5.802399933176e-01
19.147685,1.902905075068e+00,-6.433817058655e-01,-5.521551374803e-01
19.209637,1.862585256321e+00,-6.219654459665e-01,-5.220712052067e-01
19.271589,1.818892526802e+00,-5.982278146693e-01,-4.898380115865e-01
19.333542,1.771697074618e+00,-5.719378870150e-01,-4.551971745865e-01
19.395494,1.721115420496e+00,-5.429725815091e-01,-4.179612325725e-01
19.457447,1.667487382138e+00,-5.113179324447e-01,-3.779627190931e-01
19.519399,1.611324665418e+00,-4.770566148760e-01,-3.350490154928e-01
19.581352,1.553238498492e+00,-4.403421057766e-01,-2.890860683500e-01
19.643304,1.493856055738e+00,-4.013607345038e-01,-2.399655971802e-01
19.705257,1.433737040883e+00,-3.602843515013e-01,-1.876143444986e-01
19.767209,1.373302323852e+00,-3.172182954470e-01,-1.320047065701e-01
19.829161,1.312785418461e+00,-2.721511542885e-01,-7.316622743552e-02
19.891114,1.252214472926e+00,-2.249135630597e-01,-1.119740639630e-02
19.953066,1.191427480526e+00,-1.751521525290e-01,5.372281576950e-02
20.015019,1.130117497869e+00,-1.223216086185e-01,1.213246172005e-01
20.076971,1.067899227624e+00,-6.569338086563e-02,1.912386979355e-01
20.138924,1.004384818735e+00,-4.375234422876e-03,2.629903536406e-01
20.200876,9.392559668513e-01,6.266724070067e-02,3.359970275540e-01
20.262829,8.723212387893e-01,1.365975286599e-01,4.095700644195e-01
20.324781,8.035511292377e-01,2.187144614325e-01,4.829212385120e-01
20.386733,7.330875599227e-01,3.104901286735e-01,5.551744097196e-01
20.448686,6.612284312075e-01,4.136559130409e-01,6.253823857319e-01
20.510638,5.883909410712e-01,5.303636845419e-01,6.925487503098e-01
20.572591,5.150595970386e-01,6.634726606671e-01,7.556540788797e-01
20.634543,4.417262814500e-01,8.170648592067e-01,8.136856289626e-01
20.696496,3.688305351972e-01,9.974179919279e-01,8.656692919050e-01
20.758448,2.967084510539e-01,1.215005265222e+00,9.107023513088e-01
20.820401,2.255582207790e-01,1.489176963657e+00,9.479854367015e-01
20.882353,1.554301653301e-01,1.861558739359e+00,9.768520070964e-01
20.944305,8.625830375146e-02,2.450408940732e+00,9.967937592139e-01
21.006258,1.836972953364e-02,3.997051048690e+00,1.007480530991e+00
21.068210,5.085533295127e-02,2.978770266192e+00,1.008773554028e+00
21.130163,1.185950780422e-01,2.132040285335e+00,1.000731280069e+00
21.192115,1.864475405945e-01,1.679605357778e+00,9.836074389871e-01
21.254068,2.543859165622e-01,1.368902804543e+00,9.578414452587e-01
21.316020,3.223284233698e-01,1.132184301776e+00,9.240417201533e-01
21.377972,3.900652350018e-01,9.414412820473e-01,8.829629023400e-01
21.439925,4.572714074048e-01,7.824781728950e-01,8.354782495761e-01
21.501877,5.235432272990e-01,6.471356765335e-01,7.825487652739e-01
21.563830,5.884461469419e-01,5.302698637894e-01,7.251907022218e-01
21.625782,6.515658251716e-01,4.283768496523e-01,6.644430979652e-01
21.687735,7.125547681561e-01,3.388985008026e-01,6.013368887622e-01
21.749687,7.711682261276e-01,2.598487357985e-01,5.368669467780e-01
21.811640,8.272845590687e-01,1.896065559981e-01,4.719681101998e-01
21.873592,8.809072423622e-01,1.268029442164e-01,4.074959544809e-01
21.935544,9.321480320114e-01,7.026364320607e-02,3.442127129262e-01
21.997497,9.811934519386e-01,1.898563912458e-02,2.827784234417e-01
22.059449,1.028259434350e+00,-2.786750421121e-02,2.237470794489e-01
22.121402,1.073541172172e+00,-7.096269174357e-02,1.675673154615e-01
22.183354,1.117166456455e+00,-1.107955308779e-01,1.145869737943e-01
22.245307,1.159160495913e+00,-1.476960335562e-01,6.506078332850e-02
22.307259,1.199428313887e+00,-1.818450390165e-01,1.916033240963e-02
22.369212,1.237757630127e+00,-2.133013805621e-01,-2.301447158008e-02
22.431164,1.273841402841e+00,-2.420370626199e-01,-6.142320531449e-02
22.493116,1.307315806854e+00,-2.679760334993e-01,-9.607265377050e-02
22.555069,1.337807050942e+00,-2.910317449859e-01,-1.270050096052e-01
22.617021,1.364979410304e+00,-3.111393452296e-01,-1.542870129474e-01
22.678974,1.388577113547e+00,-3.282795642467e-01,-1.780004896351e-01
22.740926,1.408453993662e+00,-3.424926451538e-01,-1.982350333614e-01
22.802879,1.424586751023e+00,-3.538817730825e-01,-2.150851270732e-01
22.864831,1.437070000917e+00,-3.626063198401e-01,-2.286635213100e-01
22.926783,1.446093779366e+00,-3.688659766588e-01,-2.392862915924e-01
22.988736,1.451906669687e+00,-3.728776379504e-01,-2.460002101129e-01
23.050688,1.454769946266e+00,-3.748477762781e-01,-2.489313811388e-01
23.112641,1.454909778053e+00,-3.749438911769e-01,-2.480199981831e-01
23.174593,1.452475206159e+00,-3.732691405168e-01,-2.434805763378e-01
23.236546,1.447508993768e+00,-3.698441444476e-01,-2.358940005621e-01
23.298498,1.439936466927e+00,-3.645989931195e-01,-2.250319870199e-01
23.360451,1.429574404189e+00,-3.573767812253e-01,-2.107923480061e-01
23.422403,1.416158510696e+00,-3.479479322947e-01,-1.930869369859e-01
23.484355,1.399384804606e+00,-3.360327154790e-01,-1.718328939701e-01
23.546308,1.378958021799e+00,-3.213281580281e-01,-1.469563733112e-01
23.608260,1.354639266759e+00,-3.035351958319e-01,-1.183999887592e-01
23.670213,1.326285591365e+00,-2.823822474307e-01,-8.613212786671e-02
23.732165,1.293875683831e+00,-2.576421210085e-01,-5.015748795815e-02
23.794118,1.257518006701e+00,-2.291399431285e-01,-1.052840603113e-02
23.856070,1.217440183595e+00,-1.967504450715e-01,3.264346458878e-02
23.918023,1.173960946878e+00,-1.603834566938e-01,7.917566554642e-02
23.979975,1.127448346356e+00,-1.199569796877e-01,1.288042668129e-01
24.041927,1.078270007864e+00,-7.535791316808e-02,1.811747402476e-01
24.103880,1.026742773520e+00,-2.639143659572e-02,2.358351418095e-01
24.165832,9.730897143378e-01,2.727899617749e-02,2.922323732713e-01
24.227785,9.174119263633e-01,8.619869563549e-02,3.497122385574e-01
24.289737,8.596805033147e-01,1.511944653710e-01,4.075238903440e-01
24.351690,7.997507708935e-01,2.234551349845e-01,4.648290792435e-01
24.413642,7.373968638108e-01,3.046290448716e-01,5.207163767551e-01
24.475594,6.723609476282e-01,3.969599567246e-01,5.742202563810e-01
24.537547,6.044087672467e-01,5.035045413316e-01,6.243446027079e-01
24.599499,5.333823281578e-01,6.285167964709e-01,6.700898982508e-01
24.661452,4.592414272279e-01,7.781792197798e-01,7.104830378381e-01
24.723404,3.820880142300e-01,9.621042905538e-01,7.446084665373e-01
24.785357,3.021703560147e-01,1.196764324575e+00,7.716391543126e-01
24.847309,2.198672940562e-01,1.514731118921e+00,7.908658293408e-01
24.909262,1.356578843767e-01,1.997619111256e+00,8.017229061844e-01
24.971214,5.012319162217e-02,2.993271451418e+00,8.038096701386e-01
25.033166,3.677435485045e-02,3.302954528611e+00,7.969055104750e-01
25.095119,1.236061528635e-01,2.090654946658e+00,7.809783183686e-01
25.157071,2.106896911856e-01,1.557368881127e+00,7.561855565151e-01
25.219024,2.977399718811e-01,1.211534747616e+00,7.228679366646e-01
25.280976,3.847327542237e-01,9.552063279988e-01,6.815360748433e-01
25.342929,4.718024235818e-01,7.511949730185e-01,6.328508981186e-01
25.404881,5.591990197260e-01,5.812498392694e-01,5.775989206936e-01
25.466834,6.472287955168e-01,4.350554202277e-01,5.166637660602e-01
25.528786,7.361827158606e-01,3.062769344598e-01,4.509954690047e-01
25.590738,8.262638784004e-01,1.908410898933e-01,3.815791389478e-01
25.652691,9.175261823069e-01,8.607416179645e-02,3.094045065817e-01
25.714643,1.009834845870e+00,-9.786799531777e-03,2.354377200874e-01
25.776596,1.102855355330e+00,-9.790259507199e-02,1.605965235835e-01
25.838548,1.196072341190e+00,-1.790431404799e-01,8.572966222802e-02
25.900501,1.288835052182e+00,-2.537387508208e-01,1.160104160195e-02
25.962453,1.380422470845e+00,-3.223895913361e-01,-6.112115016979e-02
26.024406,1.470119025993e+00,-3.853433682563e-01,-1.318704467996e-01
26.086358,1.557291155964e+00,-4.429478740622e-01,-2.001835806962e-01
26.148310,1.641455300988e+00,-4.955832276091e-01,-2.656979804033e-01
26.210263,1.722328934057e+00,-5.436774069607e-01,-3.281459770949e-01
26.272215,1.799857831064e+00,-5.877076795961e-01,-3.873464864966e-01
26.334168,1.874214962006e+00,-6.281898853520e-01,-4.431949528597e-01
26.396120,1.945769264998e+00,-6.656574083878e-01,-4.956523136044e-01
26.458073,2.015026176684e+00,-7.006321867208e-01,-5.447336800505e-01
26.520025,2.082545919064e+00,-7.335911452665e-01,-5.904973486869e-01
26.581977,2.148849596437e+00,-7.649326279786e-01,-6.330346850459e-01
26.643930,2.214326211527e+00,-7.949481642308e-01,-6.724614116644e-01
26.705882,2.279154754774e+00,-8.238046530804e-01,-7.089110346524e-01
26.767835,2.343253883563e+00,-8.515405124104e-01,-7.425321614412e-01
26.829787,2.406267459427e+00,-8.780767753089e-01,-7.734967780950e-01
26.891740,2.467588279843e+00,-9.032412691294e-01,-8.020771269446e-01
26.953692,2.526416208746e+00,-9.268017806426e-01,-8.281081313082e-01
27.015645,2.581842006651e+00,-9.485031006416e-01,-8.512198756729e-01
27.077597,2.632945274133e+00,-9.681030960720e-01,-8.718856220475e-01
27.139549,2.678893951870e+00,-9.854040051841e-01,-8.903114271978e-01
27.201502,2.719033141073e+00,-1.000276354643e+00,-9.066313849103e-01
27.263454,2.752952321297e+00,-1.012673907557e+00,-9.209435813841e-01
27.325407,2.780522775839e+00,-1.022638959246e+00,-9.333234372660e-01
27.387359,2.801901328658e+00,-1.030298233040e+00,-9.438302514720e-01
27.449312,2.817501126035e+00,-1.035850366944e+00,-9.525109136042e-01
27.511264,2.827933677690e+00,-1.039546296094e+00,-9.594021758442e-01
27.573217,2.833928717993e+00,-1.041663988868e+00,-9.645320822121e-01
27.635169,2.836240610376e+00,-1.042479446882e+00,-9.679208521065e-01
27.697121,2.835552217222e+00,-1.042236704180e+00,-9.695813828262e-01
27.759074,2.832388588053e+00,-1.041120380067e+00,-9.695194696863e-01
27.821026,2.827052479931e+00,-1.039234642717e+00,-9.677338037193e-01
27.882979,2.819591117780e+00,-1.036591881097e+00,-9.642157792498e-01
27.944931,2.809798973602e+00,-1.033112941499e+00,-9.589491188347e-01
28.006884,2.797255610930e+00,-1.028638797935e+00,-9.519092961968e-01
28.068836,2.781392096556e+00,-1.022951556884e+00,-9.430627035470e-01
28.130788,2.761575345343e+00,-1.015801294558e+00,-9.323654587260e-01
28.192741,2.737197777284e+00,-1.006934688421e+00,-9.197616591615e-01
28.254693,2.707759920914e+00,-9.961216959921e-01,-9.051807120443e-01
28.316646,2.672935646512e+00,-9.831773618620e-01,-8.885329567303e-01
28.378598,2.632612854766e+00,-9.679768342936e-01,-8.697016483415e-01
28.440551,2.586906010540e+00,-9.504625714809e-01,-8.485252838701e-01
28.502503,2.536140420541e+00,-9.306434063121e-01,-8.247417245021e-01
28.564456,2.480811345701e+00,-9.085856626009e-01,-7.973294446247e-01
28.626408,2.421523783314e+00,-8.843970049539e-01,-7.678851062764e-01
28.688360,2.358920936850e+00,-8.582042847513e-01,-7.357925596319e-01
28.750313,2.293610829441e+00,-8.301273576029e-01,-7.008123544111e-01
28.812265,2.226100942027e+00,-8.002515990971e-01,-6.627574758796e-01
28.874218,2.156749892479e+00,-7.686024095851e-01,-6.214578586141e-01
28.936170,2.085742884212e+00,-7.351250916528e-01,-5.767576897455e-01
28.998123,2.013094111290e+00,-6.996728978204e-01,-5.285200955337e-01
29.060075,1.938675057794e+00,-6.620047803674e-01,-4.766350357751e-01
29.122028,1.862263503866e+00,-6.217926859562e-01,-4.210291903985e-01
29.183980,1.783604921359e+00,-5.786365535558e-01,-3.616772228729e-01
29.245932,1.702476426977e+00,-5.320839134110e-01,-2.986138917797e-01
29.307885,1.618743733615e+00,-4.816503759499e-01,-2.319464231043e-01
29.369837,1.532403326345e+00,-4.268373051710e-01,-1.618664564166e-01
29.431790,1.443604831827e+00,-3.671433415414e-01,-8.866078100288e-02
29.493742,1.352651637165e+00,-3.020668423967e-01,-1.272000794202e-02
29.555695,1.259980757050e+00,-2.310964494576e-01,6.545570116048e-02
29.617647,1.166125449197e+00,-1.536866723616e-01,1.452546951386e-01
29.679599,1.071666005162e+00,-6.921445268714e-02,2.259564300494e-01
29.741552,9.771754476604e-01,2.308906408484e-02,3.067391764232e-01
29.803504,8.831674967288e-01,1.242404047153e-01,3.866931713387e-01
29.865457,7.900540264003e-01,2.356539467452e-01,4.648392501034e-01
29.927409,6.981181880324e-01,3.593668652923e-01,5.401526503042e-01
29.989362,6.075073431135e-01,4.983910147649e-01,6.115913199676e-01
30.051314,5.182470241452e-01,6.573032678753e-01,6.781277098741e-01
30.113267,4.302737104858e-01,8.433337344601e-01,7.387827184092e-01
30.175219,3.434809349337e-01,1.068623668325e+00,7.926602157105e-01
30.237171,2.577709252843e-01,1.355683971081e+00,8.389804284184e-01
30.299124,1.731033785411e-01,1.753866293356e+00,8.771104363402e-01
30.361076,8.953577741175e-02,2.413116974793e+00,9.065901279492e-01
30.423029,7.443533352544e-03,4.900409495552e+00,9.271521825661e-01
30.484981,7.359161110896e-02,2.609224225653e+00,9.387349825566e-01
30.546934,1.524124003912e-01,1.881165265082e+00,9.414877892717e-01
30.608886,2.288485415257e-01,1.474694880591e+00,9.357680169614e-01
30.670839,3.024036975097e-01,1.195992404230e+00,9.221309865287e-01
30.732791,3.725997485623e-01,9.872504929505e-01,9.013131293286e-01
30.794743,4.390141768825e-01,8.232235705684e-01,8.742102881913e-01
30.856696,5.013138998261e-01,6.905228255418e-01,8.418537578623e-01
30.918648,5.592776383227e-01,5.811092577094e-01,8.053889943134e-01
30.980601,6.128034637222e-01,4.897110066516e-01,7.660708360100e-01
31.042553,6.619002569854e-01,4.126404020924e-01,7.253617537539e-01
31.104506,7.066639693117e-01,3.472000155881e-01,6.843163569447e-01
31.166458,7.472418172367e-01,2.913664270427e-01,6.434610741075e-01
31.228411,7.837895938836e-01,2.436146685234e-01,6.040689597199e-01
31.290363,8.164287097893e-01,2.028156811130e-01,5.671726194716e-01
31.352315,8.452099620963e-01,1.681702054532e-01,5.336740200032e-01
31.414268,8.700901106697e-01,1.391584960653e-01,5.043490051480e-01
31.476220,8.909251830881e-01,1.154948235127e-01,4.798429831813e-01
31.538173,9.074814751217e-01,9.708212503851e-02,4.606667189646e-01
31.600125,9.194621388106e-01,8.396641054287e-02,4.471936327792e-01
31.662078,9.265447382809e-01,7.629294593801e-02,4.396585725212e-01
31.724030,9.284236609770e-01,7.426711807228e-02,4.381577141883e-01
31.785982,9.248509285690e-01,7.812271167968e-02,4.426492597765e-01
31.847935,9.156696057694e-01,8.809967067259e-02,4.529547402850e-01
31.909887,9.008353587833e-01,1.044327686113e-01,4.687609143212e-01
31.971840,8.804234611173e-01,1.273522803013e-01,4.896224267909e-01
32.033792,8.546204474749e-01,1.570978285194e-01,5.149655004656e-01
32.095745,8.237015245164e-01,1.939470410075e-01,5.440928749616e-01
32.157697,7.879966544030e-01,2.382614335457e-01,5.761896856665e-01
32.219650,7.478498160125e-01,2.905531005615e-01,6.103276373592e-01
32.281602,7.035771439854e-01,3.515777496119e-01,6.454504422544e-01
32.343554,6.554302046395e-01,4.224634564442e-01,6.799399193053e-01
32.405507,6.035703310546e-01,5.048927049622e-01,7.144484558481e-01
32.467459,5.480585424171e-01,6.013731666870e-01,7.470622646842e-01
32.529412,4.888631786091e-01,7.156726249579e-01,7.764907487465e-01
32.591364,4.258843643729e-01,8.535874123466e-01,8.015941499973e-01
32.653317,3.589914199150e-01,1.024456787952e+00,8.213413226758e-01
32.715269,2.880670908540e-01,1.244561868150e+00,8.348196214107e-01
32.777222,2.130516456622e-01,1.546220670072e+00,8.412547406197e-01
32.839174,1.339817470089e-01,2.010051697197e+00,8.400313278235e-01
32.901126,5.104484744981e-02,2.975050651318e+00,8.307106365020e-01
32.963079,3.584148761415e-02,3.328649156745e+00,8.130431296590e-01
33.025031,1.256418244618e-01,2.074320075113e+00,7.869747624841e-01
33.086984,2.183118575640e-01,1.521830694574e+00,7.526462700695e-01
33.148936,3.132480912945e-01,1.160759775266e+00,7.103853126638e-01
33.210889,4.099032997964e-01,8.918339988173e-01,6.606918138834e-01
33.272841,5.077675822764e-01,6.777314493301e-01,6.042172566848e-01
33.334793,6.064035969956e-01,5.002095113015e-01,5.417390572431e-01
33.396746,7.054750731428e-01,3.488838390819e-01,4.741313982676e-01
33.458698,8.047614567308e-01,2.172093712770e-01,4.023340568226e-01
33.520651,9.041554911226e-01,1.007539288207e-01,3.273208021264e-01
